"","image2","unique_pair","image1","image_path","target_id","distractor_id","text1","text2","full_phrase_language","full_phrase","trial_type_id","dataset_id","vanilla_trial"
"159","bird_right.jpg","523_526","novel1.jpg","pomper_salientme",523,526,"purple unfamiliar object","bird","eng","Where is the tever",1424,13,0
"160","novel2.jpg","515_524","bus_left.jpg","pomper_salientme",515,524,"bus","orange-yellow unfamiliar object","eng","Look at the bus",1425,13,0
"161","novel1.jpg","512_523","fish_right.jpg","pomper_salientme",512,523,"fish","purple unfamiliar object","eng","Find the fish",1426,13,0
"162","novel4.jpg","511_522","chair_right.jpg","pomper_salientme",511,522,"chair","blue unfamiliar object","eng","Look at the chair",1427,13,0
"163","novel4.jpg","514_522","box.jpg","pomper_salientme",514,522,"box","blue unfamiliar object","eng","Where is the box",1428,13,0
"164","novel1.jpg","517_523","bird_left.jpg","pomper_salientme",517,523,"bird","purple unfamiliar object","eng","Find the bird",1429,13,0
"165","cake_right.jpg","519_524","novel2.jpg","pomper_salientme",524,519,"orange-yellow unfamiliar object","cake","eng","Look at the jang",1430,13,0
"166","bed_left.jpg","520_521","novel3.jpg","pomper_salientme",521,520,"green unfamiliar object","bed","eng","Find the pifo",1431,13,0
"167","cat_left.jpg","524_529","novel2.jpg","pomper_salientme",524,529,"orange-yellow unfamiliar object","cat","eng","Where is the jang",1432,13,0
"168","novel3.jpg","510_521","sock_left.jpg","pomper_salientme",510,521,"sock","green unfamiliar object","eng","Find the sock",1433,13,0
"169","novel2.jpg","508_524","cat_right.jpg","pomper_salientme",508,524,"cat","orange-yellow unfamiliar object","eng","Look at the cat",1434,13,0
"170","novel4.jpg","504_522","chair_left.jpg","pomper_salientme",504,522,"chair","blue unfamiliar object","eng","Look at the chair",1437,13,0
"171","novel4.jpg","521_522","novel3.jpg","pomper_salientme",521,522,"green unfamiliar object","blue unfamiliar object","eng","Find the pifo",1439,13,0
"172","novel2.jpg","523_524","novel1.jpg","pomper_salientme",523,524,"purple unfamiliar object","orange-yellow unfamiliar object","eng","Find the tever",1440,13,0
"173","cake_right.jpg","507_519","novel4.jpg","pomper_salientme",507,519,"blue unfamiliar object","cake","eng","Where is the jang",1447,13,0
"174","fish_left.jpg","509_525","novel3.jpg","pomper_salientme",509,525,"green unfamiliar object","fish","eng","Find the tever",1448,13,0
"175","novel2.jpg","502_504","chair_left.jpg","pomper_salientme",504,502,"chair","orange-yellow unfamiliar object","eng","Look at the chair",1449,13,0
"176","novel1.jpg","503_505","bed_right.jpg","pomper_salientme",505,503,"bed","purple unfamiliar object","eng","Find the bed",1450,13,0
"177","novel4.jpg","506_507","bus_right.jpg","pomper_salientme",506,507,"bus","blue unfamiliar object","eng","Where is the bus",1451,13,0
"178","door.jpg","502_518","novel2.jpg","pomper_salientme",502,518,"orange-yellow unfamiliar object","door","eng","Look at the sprock",1452,13,0
"179","bird_right.jpg","509_526","novel3.jpg","pomper_salientme",509,526,"green unfamiliar object","bird","eng","Where is the tever",1453,13,0
"180","novel4.jpg","507_508","cat_right.jpg","pomper_salientme",508,507,"cat","blue unfamiliar object","eng","Look at the cat",1454,13,0
"181","brush.jpg","503_516","novel1.jpg","pomper_salientme",503,516,"purple unfamiliar object","brush","eng","Find the pifo",1455,13,0
"182","box.jpg","502_514","novel2.jpg","pomper_salientme",502,514,"orange-yellow unfamiliar object","box","eng","Where is the sprock",1456,13,0
